0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:28:38 +0900] "GET /project01/index.jsp HTTP/1.1" 200 7439
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:28:38 +0900] "GET /project01/images/movie6.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:28:38 +0900] "GET /project01/images/drama6.png HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:30:23 +0900] "GET /project01/index.jsp HTTP/1.1" 200 7598
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:30:23 +0900] "GET /project01/images/movie6.jpg HTTP/1.1" 404 842
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:36:11 +0900] "GET /project01/index.jsp HTTP/1.1" 200 7767
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:36:11 +0900] "GET /project01/images/logo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:36:11 +0900] "GET /project01/images/movie6.png HTTP/1.1" 200 241148
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:39:14 +0900] "GET /project01/index.jsp HTTP/1.1" 200 7953
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:40:39 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8045
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:41:51 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8167
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:43:04 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8327
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:43:42 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8328
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:44:19 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8329
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:44:58 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8339
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:45:51 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3429
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:45:55 +0900] "GET /project01/form/loginForm.jsp HTTP/1.1" 200 3429
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:47:21 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8534
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:47:53 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8540
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:48:08 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8538
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:49:16 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8536
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:49:40 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8536
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:49:56 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8536
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:50:10 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8536
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:50:31 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8506
0:0:0:0:0:0:0:1 - - [12/Jul/2023:16:50:47 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8522
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:11:24 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8509
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:11:24 +0900] "GET /project01/images/logo1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:11:24 +0900] "GET /project01/images/drama4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:11:42 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8522
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:15:53 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8573
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:16:15 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8571
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:16:31 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8571
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:16:44 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8571
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:17:00 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8573
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:17:12 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8573
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:17:26 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8571
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:17:37 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8571
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:18:03 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8569
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:18:17 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8569
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:18:36 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8569
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:18:45 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8569
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:19:31 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8551
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:19:51 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:20:02 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:20:29 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8583
0:0:0:0:0:0:0:1 - - [12/Jul/2023:17:20:43 +0900] "GET /project01/index.jsp HTTP/1.1" 200 8583
